infinitive,alias,group,mood,tense,layout,row_order,label,form,note_keys
ser,ser,irregular,indicative,present,personal,1,yo,soy,
ser,ser,irregular,indicative,present,personal,2,tú,eres,
ser,ser,irregular,indicative,present,personal,3,él / ella / usted,es,
ser,ser,irregular,indicative,present,personal,4,nosotros / nosotras,somos,
ser,ser,irregular,indicative,present,personal,5,vosotros / vosotras,sois,
ser,ser,irregular,indicative,present,personal,6,ellos / ellas / ustedes,son,
ser,ser,irregular,indicative,preterite,personal,1,yo,fui,
ser,ser,irregular,indicative,preterite,personal,2,tú,fuiste,
ser,ser,irregular,indicative,preterite,personal,3,él / ella / usted,fue,
ser,ser,irregular,indicative,preterite,personal,4,nosotros / nosotras,fuimos,
ser,ser,irregular,indicative,preterite,personal,5,vosotros / vosotras,fuisteis,
ser,ser,irregular,indicative,preterite,personal,6,ellos / ellas / ustedes,fueron,
ser,ser,irregular,indicative,imperfect,personal,1,yo,era,
ser,ser,irregular,indicative,imperfect,personal,2,tú,eras,
ser,ser,irregular,indicative,imperfect,personal,3,él / ella / usted,era,
ser,ser,irregular,indicative,imperfect,personal,4,nosotros / nosotras,éramos,
ser,ser,irregular,indicative,imperfect,personal,5,vosotros / vosotras,erais,
ser,ser,irregular,indicative,imperfect,personal,6,ellos / ellas / ustedes,eran,
ser,ser,irregular,indicative,future,personal,1,yo,seré,
ser,ser,irregular,indicative,future,personal,2,tú,serás,
ser,ser,irregular,indicative,future,personal,3,él / ella / usted,será,
ser,ser,irregular,indicative,future,personal,4,nosotros / nosotras,seremos,
ser,ser,irregular,indicative,future,personal,5,vosotros / vosotras,seréis,
ser,ser,irregular,indicative,future,personal,6,ellos / ellas / ustedes,serán,
ser,ser,irregular,indicative,presentPerfect,personal,1,yo,he sido,
ser,ser,irregular,indicative,presentPerfect,personal,2,tú,has sido,
ser,ser,irregular,indicative,presentPerfect,personal,3,él / ella / usted,ha sido,
ser,ser,irregular,indicative,presentPerfect,personal,4,nosotros / nosotras,hemos sido,
ser,ser,irregular,indicative,presentPerfect,personal,5,vosotros / vosotras,habéis sido,
ser,ser,irregular,indicative,presentPerfect,personal,6,ellos / ellas / ustedes,han sido,
ser,ser,irregular,indicative,pluperfect,personal,1,yo,había sido,
